"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/06/2022","AQS","060010007","1","0.036","ppm","33","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/07/2022","AQS","060010007","1","0.043","ppm","40","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/08/2022","AQS","060010007","1","0.043","ppm","40","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/09/2022","AQS","060010007","1","0.043","ppm","40","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/10/2022","AQS","060010007","1","0.044","ppm","41","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/11/2022","AQS","060010007","1","0.045","ppm","42","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/12/2022","AQS","060010007","1","0.046","ppm","43","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/13/2022","AQS","060010007","1","0.047","ppm","44","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/14/2022","AQS","060010007","1","0.047","ppm","44","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/15/2022","AQS","060010007","1","0.033","ppm","31","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/16/2022","AQS","060010007","1","0.038","ppm","35","Livermore","13","76.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/17/2022","AQS","060010007","1","0.042","ppm","39","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/18/2022","AQS","060010007","1","0.043","ppm","40","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/19/2022","AQS","060010007","1","0.036","ppm","33","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/20/2022","AQS","060010007","1","0.041","ppm","38","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/21/2022","AQS","060010007","1","0.041","ppm","38","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/22/2022","AQS","060010007","1","0.032","ppm","30","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/23/2022","AQS","060010007","1","0.028","ppm","26","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/24/2022","AQS","060010007","1","0.039","ppm","36","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/25/2022","AQS","060010007","1","0.046","ppm","43","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/26/2022","AQS","060010007","1","0.035","ppm","32","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/27/2022","AQS","060010007","1","0.034","ppm","31","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"03/28/2022","AQS","060010007","1","0.04","ppm","37","Livermore","17","100.0000","44201","Ozone","047","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
